DOB,siblings,countries
1959-11-27,9,"{Zambia, Benin, Belize, Norway, Niue, Honduras, Czech Republic, Guinea-Bissau}"
1972-06-23,0,"{Cambodia, Bangladesh}"
1990-02-14,0,"{Marshall Islands, Morocco, Djibouti, Mongolia, Australia, American Samoa, Norway, Togo, Sierra Leone, Wallis and Futuna}"
1961-01-09,10,"{France, Lesotho, Moldova, Ukraine, Myanmar, Pitcairn Islands, Saint Vincent and the Grenadines, Pakistan}"
1956-09-16,7,"{Christmas Island, Burundi, Luxembourg, Costa Rica, Liberia, Liberia, Eritrea, Oman, Saint Martin}"
1999-03-15,5,"{Equatorial Guinea, Macao, Japan, Spain, Yemen, Vanuatu, Saint Barthelemy, Lebanon}"
1972-04-07,2,"{Saint Vincent and the Grenadines, Honduras, Liechtenstein}"
1989-09-11,6,"{Samoa, El Salvador}"
1992-03-29,10,"{Faroe Islands, Malaysia, Poland, Belgium, Kyrgyz Republic, Indonesia}"
1994-08-13,1,"{Guadeloupe, Sri Lanka, Serbia, Bouvet Island (Bouvetoya), Iran, Azerbaijan, Ireland, Latvia}"
1926-08-11,0,"{United Kingdom, Chile, Papua New Guinea, Zambia, Malaysia, Belarus, Burkina Faso, Togo}"
1976-07-18,4,"{Malta, Slovakia (Slovak Republic), Egypt, Albania, Pakistan, Costa Rica, Macao, Tonga, Netherlands Antilles, Thailand}"
1970-09-27,8,"{Turkmenistan, Guadeloupe, Nigeria, Luxembourg, Mozambique, Senegal, Ethiopia}"
1963-12-12,3,"{Iraq, Mayotte, Seychelles, Cocos (Keeling) Islands, Czech Republic, New Caledonia, Singapore, Northern Mariana Islands, Aruba, United States of America}"
1984-03-10,6,"{Antarctica (the territory South of 60 deg S), Myanmar, Cuba, Argentina, Algeria}"
1968-08-21,2,{Morocco}
1962-03-01,0,"{Malawi, Jamaica, Maldives, Botswana, Maldives, Cyprus, Barbados, Reunion}"
1934-04-28,0,"{Lebanon, Central African Republic, Kyrgyz Republic, Afghanistan}"
1970-03-18,7,"{China, French Southern Territories, China, Greece, Cambodia, Mali, Palau, Pakistan, Japan, Slovakia (Slovak Republic)}"
1941-07-31,2,"{Liechtenstein, Monaco, Antigua and Barbuda, Heard Island and McDonald Islands, Burkina Faso, Bolivia, Brunei Darussalam}"
1969-01-05,1,"{Holy See (Vatican City State), Singapore, Cook Islands}"
1929-09-29,0,"{Angola, Taiwan, Dominica, Malaysia, Ethiopia, San Marino, Jamaica, French Polynesia, Vietnam}"
1986-03-20,4,"{Holy See (Vatican City State), Netherlands Antilles, Bahrain, Austria, Malaysia, Vietnam, Jordan, Colombia}"
1974-04-09,6,"{Guinea-Bissau, Tajikistan, Chile, American Samoa, Bermuda, Singapore, Martinique, French Polynesia}"
1948-08-08,4,"{Tunisia, Azerbaijan, Kuwait, Bangladesh, Palestinian Territory, South Africa}"
1951-09-03,3,"{Poland, Belize}"
1958-02-27,4,"{Suriname, Iraq, Hungary, Tonga, Iraq, American Samoa, Congo, Niger}"
1932-04-27,8,"{French Guiana, Antarctica (the territory South of 60 deg S)}"
1988-02-02,1,"{Eritrea, British Indian Ocean Territory (Chagos Archipelago), Slovakia (Slovak Republic), Luxembourg, Benin, Heard Island and McDonald Islands, Zimbabwe}"
